Sample	Tool	purity_bp	completeness_bp	percentage_binned_pb
sample_0	Gold standard	1.000	1.000	1.000
sample_0	MetaBat2_GTDB	0.605	0.337	0.368
sample_0	CONCOCT_GTDB	0.582	0.388	0.474
sample_0	SemiBin_GTDB	0.897	0.277	0.302
sample_0	DAS Tool_GTDB	0.945	0.229	0.232
sample_1	Gold standard	1.000	1.000	1.000
sample_1	MetaBat2_GTDB	0.633	0.319	0.349
sample_1	CONCOCT_GTDB	0.528	0.380	0.458
sample_1	SemiBin_GTDB	0.896	0.259	0.284
sample_1	DAS Tool_GTDB	0.955	0.213	0.217
sample_2	Gold standard	1.000	1.000	1.000
sample_2	MetaBat2_GTDB	0.566	0.302	0.336
sample_2	CONCOCT_GTDB	0.512	0.361	0.449
sample_2	SemiBin_GTDB	0.882	0.224	0.268
sample_2	DAS Tool_GTDB	0.959	0.181	0.185
sample_3	Gold standard	1.000	1.000	1.000
sample_3	MetaBat2_GTDB	0.616	0.271	0.301
sample_3	CONCOCT_GTDB	0.522	0.331	0.406
sample_3	SemiBin_GTDB	0.892	0.213	0.239
sample_3	DAS Tool_GTDB	0.924	0.168	0.172
sample_4	Gold standard	1.000	1.000	1.000
sample_4	MetaBat2_GTDB	0.669	0.302	0.323
sample_4	CONCOCT_GTDB	0.568	0.357	0.419
sample_4	SemiBin_GTDB	0.928	0.254	0.272
sample_4	DAS Tool_GTDB	0.959	0.210	0.213
sample_5	Gold standard	1.000	1.000	1.000
sample_5	MetaBat2_GTDB	0.604	0.292	0.313
sample_5	CONCOCT_GTDB	0.553	0.335	0.409
sample_5	SemiBin_GTDB	0.899	0.234	0.251
sample_5	DAS Tool_GTDB	0.968	0.200	0.202
sample_6	Gold standard	1.000	1.000	1.000
sample_6	MetaBat2_GTDB	0.544	0.311	0.328
sample_6	CONCOCT_GTDB	0.519	0.342	0.422
sample_6	SemiBin_GTDB	0.913	0.248	0.270
sample_6	DAS Tool_GTDB	0.959	0.206	0.208
sample_7	Gold standard	1.000	1.000	1.000
sample_7	MetaBat2_GTDB	0.635	0.310	0.341
sample_7	CONCOCT_GTDB	0.527	0.379	0.443
sample_7	SemiBin_GTDB	0.886	0.263	0.288
sample_7	DAS Tool_GTDB	0.955	0.227	0.233
sample_8	Gold standard	1.000	1.000	1.000
sample_8	MetaBat2_GTDB	0.528	0.291	0.315
sample_8	CONCOCT_GTDB	0.519	0.340	0.421
sample_8	SemiBin_GTDB	0.889	0.214	0.242
sample_8	DAS Tool_GTDB	0.934	0.154	0.156
sample_9	Gold standard	1.000	1.000	1.000
sample_9	MetaBat2_GTDB	0.649	0.336	0.360
sample_9	CONCOCT_GTDB	0.550	0.383	0.461
sample_9	SemiBin_GTDB	0.898	0.271	0.297
sample_9	DAS Tool_GTDB	0.972	0.224	0.228
