Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq	unifrac_bp	unifrac_seq
sample_0	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
sample_0	MetaBat2_GTDB	0.22190942225005242	0.015257742016786226	0.31766658678002224	0.20424858187518818	genome	0.2687901591278101	0.17306565567616147	0.43247355680392946	0.05779019649203575	0.20430320120949197	0.13965030394274328	0.3961013875817856	0.5800936025805971	0.36746138786683413	0.036336055155517855	0.8708676603978718	0.025723751745661463	0.054260335117538555	0.8339880932717452	0.029087554517925156	0.6038986124182144	0.41990639741940294	0.9607220122355989	0.929508216436323	NA	0.15892014387863526	0.09607968204219274	0.012968464018433056	0.01113699449883104	0.0990586437494644	0.07355135935492675	0.11641018105361635	0.07620540359614741	0.010837474454514918	0.009539602745187708	0.3368530997179817	0.031030398950657602		
sample_0	CONCOCT_GTDB	0.27589579735983516	0.03493833216348278	0.45449697974406056	0.19519592331455665	genome	0.5515983878589146	0.2723578386249919	0.4659604556733542	0.09890863777909704	0.471052691642603	0.22443209545070977	0.4178108351308204	0.5849123428369045	0.4738937342158027	0.08417097343310036	0.6829714411672195	0.02062936609429399	0.0936255639995294	0.6223114321115473	0.022817453648773234	0.5821891648691796	0.4150876571630954	0.9857169292298303	0.9686203015389181	NA	0.46261250423771416	0.17009433937386687	0.0173188425653353	0.013481423627893735	0.17666601929589032	0.11522872844401975	0.3789461971604204	0.13690249216799938	0.016684971225891097	0.011877215306806676	0.3884166465723692	0.056143341472602463		
sample_0	SemiBin_GTDB	0.27107751437713284	0.01382682056299171	0.8745435062029759	0.8107825156503629	genome	0.21736207007366234	0.1971423823692751	0.42234956357523623	0.02858142618723723	0.16494705546086375	0.15419176663903206	0.10228221406245919	0.19102548856384038	0.3019629538630899	0.017091787649088194	0.8273380814032438	0.02201881324579453	0.05866420454713438	0.7822657521994617	0.02413207320358154	0.8977177859375408	0.8089745114361596	0.9966762782112422	0.9936679980267399	NA	0.1251166456474794	0.11190368455387363	0.012051102042602607	0.011485751380930212	0.085539916599879	0.08034079323378503	0.09219338819539098	0.08552473924079526	0.010158326075193784	0.009705409280549814	0.2761303463968088	0.014547701446910918		
sample_0	DAS Tool_GTDB	0.31521288600704167	0.0324206692267875	0.6447771621407288	0.2797097158132623	genome	0.2927196320930726	0.22588628987291548	0.47384678099170674	0.08023615903823034	0.2148370174961917	0.17094212393211597	0.2440146318572447	0.48083453580844304	0.4169563318155635	0.0624476616087568	0.8004009173908455	0.024045998942657278	0.0740108883392352	0.7464637502472283	0.026228179736136305	0.7559853681427553	0.519165464191557	0.9923402803970888	0.9748109848803171	NA	0.17911187965407876	0.13149869045395943	0.01284219357766391	0.011971139432459406	0.09713902023696717	0.08584159940751933	0.1254747202216311	0.09652307897490306	0.010688284199529744	0.009823145185260975	0.34506595416141156	0.04347778955156331		
sample_1	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		
sample_1	MetaBat2_GTDB	0.22083171287817066	0.014464494053417353	0.36812731032610824	0.17196952684327124	genome	0.2742866523426156	0.19146290378371034	0.42606439006378993	0.05787043318267282	0.20996535980353057	0.1544986499163337	0.3667497763126527	0.5981054006968641	0.34872741393171813	0.03599076493811568	0.8564466946258316	0.024743443594299565	0.05877484808681127	0.8167717080383968	0.02958906171382758	0.6332502236873473	0.40189459930313587	0.9725274530872603	0.9312565084354527	NA	0.16329125309363088	0.10777868108682402	0.012659369909338459	0.011357496620211986	0.0993609808309077	0.08049146319435103	0.12046671048342368	0.08531866585037491	0.01074728862986387	0.009727699819406624	0.3210302175472921	0.031180090424781495		
sample_1	CONCOCT_GTDB	0.24150933566647448	0.031398426635674125	0.4071263293526283	0.14912790693852168	genome	0.5084416222883755	0.25614937109520747	0.44160309967626243	0.10143157906111408	0.4253380472206987	0.21131247154386074	0.47232848629798596	0.636031487478341	0.45768878818586245	0.08626687626942912	0.6912172753953834	0.020565535631797468	0.09685354758340547	0.6314032627110792	0.02354790864388788	0.527671513702014	0.363968512521659	0.9849775089484978	0.9639728839932129	NA	0.4021126732203508	0.1572025216832997	0.01645248140886993	0.012764455988062978	0.16782416959571064	0.10948985824304425	0.32068052441456074	0.12688933759750817	0.015716237675814183	0.01127343455960319	0.37967446068627814	0.05892670397416691		
sample_1	SemiBin_GTDB	0.2556826690780264	0.013571554934510333	0.8725289461067278	0.7679168503370953	genome	0.22204312025738537	0.20873848664182945	0.4024076402003369	0.02755192303137606	0.16781290913480157	0.1608142338193317	0.10274165619448083	0.1750212693551132	0.28495992357519456	0.01645079373610206	0.8351295272409258	0.019626816351056682	0.054314880731012934	0.7997314415241333	0.022215987057083622	0.8972583438055192	0.8249787306448868	0.9970287369016257	0.9941040050502586	NA	0.12804358912605973	0.11927555280580819	0.011826506056623885	0.011349078196165463	0.08671707221456408	0.08256181015361679	0.09374167022256041	0.0893951411269615	0.009867635060723369	0.009483489101689864	0.25936446103300137	0.014009906865610143		
sample_1	DAS Tool_GTDB	0.2858900016030013	0.0295061794746047	0.797377341782848	0.3816340024916221	genome	0.3019085408630016	0.2389652192489434	0.44646377607668	0.07095980161675113	0.22359331391320214	0.1807210300057947	0.174749412249671	0.39331675760296525	0.3464281102572136	0.04863523073098963	0.8369586011401433	0.020188765510213303	0.055024144131561065	0.784830761061957	0.022787329644963245	0.825250587750329	0.6066832423970347	0.9961830568802915	0.9810661657224115	NA	0.1841715414332269	0.13938027055179494	0.012725884925278602	0.012064558248317456	0.10040785122148857	0.09126208571085707	0.13036702721040241	0.1021177108193103	0.010621232422650286	0.009901402470818976	0.3060075158734924	0.03768371032719081		
