BINID	TAXID	Tool	filtered	genome_id	index	length_gs	name	precision_bp	precision_seq	rank	recall_bp	recall_seq	sample_id	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts
Otu3.0		Gold standard		Otu3.0		3665852		1.0	1.0	NA	1.0	1.0	sample_0	1	3665852.0	3665852	1	3665852	1
Otu1000		Gold standard		Otu1000		4884705		1.0	1.0	NA	1.0	1.0	sample_0	1	4884705.0	4884705	1	4884705	1
Otu497.1		Gold standard		Otu497.1		2684573		1.0	1.0	NA	1.0	1.0	sample_0	1	2684573.0	2684573	1	2684573	1
Otu388		Gold standard		Otu388		1761644		1.0	1.0	NA	1.0	1.0	sample_0	3	587214.6666666666	1761644	3	1761644	3
Otu9		Gold standard		Otu9		2562275		1.0	1.0	NA	1.0	1.0	sample_0	1	2562275.0	2562275	1	2562275	1
Otu85.0		Gold standard		Otu85.0		3427048		1.0	1.0	NA	1.0	1.0	sample_0	1	3427048.0	3427048	1	3427048	1
Otu157.0		Gold standard		Otu157.0		3543876		1.0	1.0	NA	1.0	1.0	sample_0	1	3543876.0	3543876	1	3543876	1
Otu492		Gold standard		Otu492		1641796		1.0	1.0	NA	1.0	1.0	sample_0	1	1641796.0	1641796	1	1641796	1
Otu82		Gold standard		Otu82		4059887		1.0	1.0	NA	1.0	1.0	sample_0	1	4059887.0	4059887	1	4059887	1
Otu724		Gold standard		Otu724		1766600		1.0	1.0	NA	1.0	1.0	sample_0	2	883300.0	1766600	2	1766600	2
Otu168.0		Gold standard		Otu168.0		3274117		1.0	1.0	NA	1.0	1.0	sample_0	3	1091372.3333333333	3274117	3	3274117	3
Otu583		Gold standard		Otu583		1704075		1.0	1.0	NA	1.0	1.0	sample_0	1	1704075.0	1704075	1	1704075	1
Otu196		Gold standard		Otu196		2316281		1.0	1.0	NA	1.0	1.0	sample_0	1	2316281.0	2316281	1	2316281	1
Otu523		Gold standard		Otu523		3052329		1.0	1.0	NA	1.0	1.0	sample_0	1	3052329.0	3052329	1	3052329	1
Otu20		Gold standard		Otu20		5251138		1.0	1.0	NA	1.0	1.0	sample_0	2	2625569.0	5251138	2	5251138	2
Otu119.1		Gold standard		Otu119.1		4480493		1.0	1.0	NA	1.0	1.0	sample_0	1	4480493.0	4480493	1	4480493	1
Otu1405		Gold standard		Otu1405		4298461		1.0	1.0	NA	1.0	1.0	sample_0	6606	650.6904329397518	4298461	6606	4298461	6606
Otu1854		Gold standard		Otu1854		3087405		1.0	1.0	NA	1.0	1.0	sample_0	8182	377.34111464189687	3087405	8182	3087405	8182
Otu1977.0		Gold standard		Otu1977.0		3895702		1.0	1.0	NA	1.0	1.0	sample_0	5014	776.9648982848025	3895702	5014	3895702	5014
Otu1326		Gold standard		Otu1326		3025744		1.0	1.0	NA	1.0	1.0	sample_0	3743	808.3740315255143	3025744	3743	3025744	3743
Otu1238		Gold standard		Otu1238		3849028		1.0	1.0	NA	1.0	1.0	sample_0	3730	1031.9109919571047	3849028	3730	3849028	3730
Otu1196		Gold standard		Otu1196		3460964		1.0	1.0	NA	1.0	1.0	sample_0	4001	865.0247438140465	3460964	4001	3460964	4001
Otu1974.1		Gold standard		Otu1974.1		1467204		1.0	1.0	NA	1.0	1.0	sample_0	5002	293.3234706117553	1467204	5002	1467204	5002
Otu1862		Gold standard		Otu1862		2700304		1.0	1.0	NA	1.0	1.0	sample_0	6866	393.286338479464	2700304	6866	2700304	6866
Otu1219		Gold standard		Otu1219		3974461		1.0	1.0	NA	1.0	1.0	sample_0	8230	482.9235722964763	3974461	8230	3974461	8230
Otu2153		Gold standard		Otu2153		2373837		1.0	1.0	NA	1.0	1.0	sample_0	5544	428.18127705627705	2373837	5544	2373837	5544
Otu2225.0		Gold standard		Otu2225.0		3181030		1.0	1.0	NA	1.0	1.0	sample_0	6387	498.0475966807578	3181030	6387	3181030	6387
Otu1836		Gold standard		Otu1836		2935824		1.0	1.0	NA	1.0	1.0	sample_0	7146	410.83459277917717	2935824	7146	2935824	7146
Otu2177		Gold standard		Otu2177		3384827		1.0	1.0	NA	1.0	1.0	sample_0	6071	557.5402734310658	3384827	6071	3384827	6071
Otu644		Gold standard		Otu644		1701685		1.0	1.0	NA	1.0	1.0	sample_0	1587	1072.2652804032766	1701685	1587	1701685	1587
Otu433		Gold standard		Otu433		1795422		1.0	1.0	NA	1.0	1.0	sample_0	748	2400.2967914438505	1795422	748	1795422	748
Otu712		Gold standard		Otu712		3168468		1.0	1.0	NA	1.0	1.0	sample_0	1528	2073.604712041885	3168468	1528	3168468	1528
Otu2389		Gold standard		Otu2389		2247302		1.0	1.0	NA	1.0	1.0	sample_0	5335	421.23748828491097	2247302	5335	2247302	5335
Otu1631		Gold standard		Otu1631		4594121		1.0	1.0	NA	1.0	1.0	sample_0	6965	659.6010050251256	4594121	6965	4594121	6965
Otu2217		Gold standard		Otu2217		5681710		1.0	1.0	NA	1.0	1.0	sample_0	4378	1297.7866605756053	5681710	4378	5681710	4378
Otu2253		Gold standard		Otu2253		2232327		1.0	1.0	NA	1.0	1.0	sample_0	6064	368.12780343007915	2232327	6064	2232327	6064
Otu1780		Gold standard		Otu1780		3148355		1.0	1.0	NA	1.0	1.0	sample_0	7847	401.21766280107045	3148355	7847	3148355	7847
Otu2090		Gold standard		Otu2090		2957488		1.0	1.0	NA	1.0	1.0	sample_0	6764	437.2395032525133	2957488	6764	2957488	6764
Otu2215		Gold standard		Otu2215		3303358		1.0	1.0	NA	1.0	1.0	sample_0	5960	554.2546979865772	3303358	5960	3303358	5960
Otu927		Gold standard		Otu927		5570287		1.0	1.0	NA	1.0	1.0	sample_0	4639	1200.7516706186677	5570287	4639	5570287	4639
Otu2455		Gold standard		Otu2455		3792582		1.0	1.0	NA	1.0	1.0	sample_0	8047	471.30383994035043	3792582	8047	3792582	8047
Otu2416		Gold standard		Otu2416		3826699		1.0	1.0	NA	1.0	1.0	sample_0	10709	357.33485853020824	3826699	10709	3826699	10709
Otu1379		Gold standard		Otu1379		1226375		1.0	1.0	NA	1.0	1.0	sample_0	3143	390.1924912503977	1226375	3143	1226375	3143
Otu1501		Gold standard		Otu1501		3837882		1.0	1.0	NA	1.0	1.0	sample_0	7218	531.7098919368246	3837882	7218	3837882	7218
Otu521.0		Gold standard		Otu521.0		3159189		1.0	1.0	NA	1.0	1.0	sample_0	4329	729.7733887733888	3159189	4329	3159189	4329
Otu1986.0		Gold standard		Otu1986.0		4121300		1.0	1.0	NA	1.0	1.0	sample_0	4850	849.7525773195877	4121300	4850	4121300	4850
Otu1377		Gold standard		Otu1377		1754933		1.0	1.0	NA	1.0	1.0	sample_0	4403	398.5766522825346	1754933	4403	1754933	4403
Otu775.0		Gold standard		Otu775.0		4383811		1.0	1.0	NA	1.0	1.0	sample_0	5563	788.0300197735035	4383811	5563	4383811	5563
Otu1272		Gold standard		Otu1272		5620761		1.0	1.0	NA	1.0	1.0	sample_0	10735	523.5920819748486	5620761	10735	5620761	10735
Otu473		Gold standard		Otu473		4463514		1.0	1.0	NA	1.0	1.0	sample_0	143	31213.384615384617	4463514	143	4463514	143
Otu2278		Gold standard		Otu2278		1314717		1.0	1.0	NA	1.0	1.0	sample_0	3611	364.0866795901412	1314717	3611	1314717	3611
Otu612.0		Gold standard		Otu612.0		3682452		1.0	1.0	NA	1.0	1.0	sample_0	1332	2764.6036036036035	3682452	1332	3682452	1332
Otu1970		Gold standard		Otu1970		2662674		1.0	1.0	NA	1.0	1.0	sample_0	7055	377.4165839829908	2662674	7055	2662674	7055
Otu2258.1		Gold standard		Otu2258.1		1382941		1.0	1.0	NA	1.0	1.0	sample_0	4689	294.93303476220945	1382941	4689	1382941	4689
Otu903		Gold standard		Otu903		4746639		1.0	1.0	NA	1.0	1.0	sample_0	2215	2142.952144469526	4746639	2215	4746639	2215
Otu1525.0		Gold standard		Otu1525.0		3359634		1.0	1.0	NA	1.0	1.0	sample_0	2175	1544.6593103448276	3359634	2175	3359634	2175
Otu2087		Gold standard		Otu2087		3599472		1.0	1.0	NA	1.0	1.0	sample_0	6054	594.5609514370664	3599472	6054	3599472	6054
Otu1127		Gold standard		Otu1127		5123017		1.0	1.0	NA	1.0	1.0	sample_0	3875	1322.0689032258065	5123017	3875	5123017	3875
Otu1919		Gold standard		Otu1919		3083723		1.0	1.0	NA	1.0	1.0	sample_0	6996	440.7837335620354	3083723	6996	3083723	6996
Otu1950		Gold standard		Otu1950		6603983		1.0	1.0	NA	1.0	1.0	sample_0	5555	1188.8358235823582	6603983	5555	6603983	5555
Otu1949.0		Gold standard		Otu1949.0		2943740		1.0	1.0	NA	1.0	1.0	sample_0	6697	439.56099746154996	2943740	6697	2943740	6697
Otu1961		Gold standard		Otu1961		1694701		1.0	1.0	NA	1.0	1.0	sample_0	4824	351.3061774461028	1694701	4824	1694701	4824
Otu1382		Gold standard		Otu1382		4424721		1.0	1.0	NA	1.0	1.0	sample_0	12775	346.3578082191781	4424721	12775	4424721	12775
Otu1233.0		Gold standard		Otu1233.0		3482013		1.0	1.0	NA	1.0	1.0	sample_0	4676	744.6563301967493	3482013	4676	3482013	4676
