BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
Otu255	2767752	347.27126725219574	7970.0	Otu255	2767752	7970.0	1.0	1.0	2767752	7970.0	1.0	1.0	NA	Gold standard	sample_0
Otu229.0	2741280	427.2568578553616	6416.0	Otu229.0	2741280	6416.0	1.0	1.0	2741280	6416.0	1.0	1.0	NA	Gold standard	sample_0
Otu1227	1051830	285.35811177428104	3686.0	Otu1227	1051830	3686.0	1.0	1.0	1051830	3686.0	1.0	1.0	NA	Gold standard	sample_0
Otu405.0	2695563	533.8805704099822	5049.0	Otu405.0	2695563	5049.0	1.0	1.0	2695563	5049.0	1.0	1.0	NA	Gold standard	sample_0
Otu937	1419837	288.11627435064935	4928.0	Otu937	1419837	4928.0	1.0	1.0	1419837	4928.0	1.0	1.0	NA	Gold standard	sample_0
Otu1920	1298797	428.3631266490765	3032.0	Otu1920	1298797	3032.0	1.0	1.0	1298797	3032.0	1.0	1.0	NA	Gold standard	sample_0
Otu889.0	1658421	349.14126315789474	4750.0	Otu889.0	1658421	4750.0	1.0	1.0	1658421	4750.0	1.0	1.0	NA	Gold standard	sample_0
Otu398	979621	348.8678774928775	2808.0	Otu398	979621	2808.0	1.0	1.0	979621	2808.0	1.0	1.0	NA	Gold standard	sample_0
Otu292.0	3321720	532.6683771648493	6236.0	Otu292.0	3321720	6236.0	1.0	1.0	3321720	6236.0	1.0	1.0	NA	Gold standard	sample_0
Otu722	1435499	289.2401773121096	4963.0	Otu722	1435499	4963.0	1.0	1.0	1435499	4963.0	1.0	1.0	NA	Gold standard	sample_0
Otu1543	961802	346.8452939055175	2773.0	Otu1543	961802	2773.0	1.0	1.0	961802	2773.0	1.0	1.0	NA	Gold standard	sample_0
Otu185.0	5274753	3160.427201917316	1669.0	Otu185.0	5274753	1669.0	1.0	1.0	5274753	1669.0	1.0	1.0	NA	Gold standard	sample_0
Otu941	1652373	287.9701986754967	5738.0	Otu941	1652373	5738.0	1.0	1.0	1652373	5738.0	1.0	1.0	NA	Gold standard	sample_0
Otu1507	2370387	344.9340803259604	6872.0	Otu1507	2370387	6872.0	1.0	1.0	2370387	6872.0	1.0	1.0	NA	Gold standard	sample_0
Otu895.0	1676070	351.30370991406414	4771.0	Otu895.0	1676070	4771.0	1.0	1.0	1676070	4771.0	1.0	1.0	NA	Gold standard	sample_0
Otu122.0	1803268	351.3772408417771	5132.0	Otu122.0	1803268	5132.0	1.0	1.0	1803268	5132.0	1.0	1.0	NA	Gold standard	sample_0
Otu1498	4859074	1090.4564631956912	4456.0	Otu1498	4859074	4456.0	1.0	1.0	4859074	4456.0	1.0	1.0	NA	Gold standard	sample_0
Otu525.0	1315845	287.3651452282158	4579.0	Otu525.0	1315845	4579.0	1.0	1.0	1315845	4579.0	1.0	1.0	NA	Gold standard	sample_0
Otu523	2548096	686.8183288409704	3710.0	Otu523	2548096	3710.0	1.0	1.0	2548096	3710.0	1.0	1.0	NA	Gold standard	sample_0
Otu152	5376720	673.0996494742113	7988.0	Otu152	5376720	7988.0	1.0	1.0	5376720	7988.0	1.0	1.0	NA	Gold standard	sample_0
Otu2169.0	509411	290.42816419612313	1754.0	Otu2169.0	509411	1754.0	1.0	1.0	509411	1754.0	1.0	1.0	NA	Gold standard	sample_0
Otu829.0	2277523	430.6150501039894	5289.0	Otu829.0	2277523	5289.0	1.0	1.0	2277523	5289.0	1.0	1.0	NA	Gold standard	sample_0
Otu1692	1246228	289.8204651162791	4300.0	Otu1692	1246228	4300.0	1.0	1.0	1246228	4300.0	1.0	1.0	NA	Gold standard	sample_0
Otu119.0	4194474	944.9141698580761	4439.0	Otu119.0	4194474	4439.0	1.0	1.0	4194474	4439.0	1.0	1.0	NA	Gold standard	sample_0
Otu618.0	1552990	285.9491806297183	5431.0	Otu618.0	1552990	5431.0	1.0	1.0	1552990	5431.0	1.0	1.0	NA	Gold standard	sample_0
Otu726	4099847	536.7697041110239	7638.0	Otu726	4099847	7638.0	1.0	1.0	4099847	7638.0	1.0	1.0	NA	Gold standard	sample_0
Otu564	2686396	351.2547071129707	7648.0	Otu564	2686396	7648.0	1.0	1.0	2686396	7648.0	1.0	1.0	NA	Gold standard	sample_0
Otu1468.0	2167676	347.88573262718666	6231.0	Otu1468.0	2167676	6231.0	1.0	1.0	2167676	6231.0	1.0	1.0	NA	Gold standard	sample_0
Otu1739	1171167	284.67841516772	4114.0	Otu1739	1171167	4114.0	1.0	1.0	1171167	4114.0	1.0	1.0	NA	Gold standard	sample_0
Otu301	4512173	670.357004902689	6731.0	Otu301	4512173	6731.0	1.0	1.0	4512173	6731.0	1.0	1.0	NA	Gold standard	sample_0
Otu205.1	2449533	316.1095625241967	7749.0	Otu205.1	2449533	7749.0	1.0	1.0	2449533	7749.0	1.0	1.0	NA	Gold standard	sample_0
Otu2232	982231	285.0351131746953	3446.0	Otu2232	982231	3446.0	1.0	1.0	982231	3446.0	1.0	1.0	NA	Gold standard	sample_0
